Czas;MS_od_startu;t0;t1;t2;t3;HA0;HA1;PA0;PA1
2020.04.08;10:04:20.886;9126;40.0;39.2;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:21.088;9328;40.0;39.2;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:21.291;9531;40.0;39.2;38.4;1370.0;0.7192;0.7192;1.0054;0.0000
2020.04.08;10:04:21.494;9734;40.0;39.2;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:21.697;9937;40.0;39.2;38.3;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:21.900;10140;40.0;39.2;38.3;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:22.102;10342;40.0;39.2;38.3;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:22.305;10545;40.0;39.3;38.3;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:22.508;10748;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:22.711;10951;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:22.914;11154;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:23.116;11356;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:23.319;11559;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:23.522;11762;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:23.725;11965;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:23.928;12168;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:24.130;12370;40.0;39.3;38.3;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:24.333;12573;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0064;0.0000
2020.04.08;10:04:24.536;12776;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:24.739;12979;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0061;0.0000
2020.04.08;10:04:24.942;13182;40.0;39.3;38.4;1370.0;0.7192;0.7192;1.0057;0.0000
2020.04.08;10:04:25.144;13384;40.0;39.3;38.4;1370.0;0.7178;0.7178;1.0061;0.0000
2020.04.08;10:04:25.347;13587;40.0;39.2;38.4;1370.0;0.7156;0.7156;1.0061;0.0000
2020.04.08;10:04:25.550;13790;40.0;39.2;38.3;1370.0;0.7135;0.7135;1.0061;0.0000
2020.04.08;10:04:25.753;13993;40.0;39.2;38.3;1370.0;0.7121;0.7121;1.0061;0.0000
2020.04.08;10:04:25.956;14196;40.0;39.2;38.3;1370.0;0.7121;0.7121;1.0064;0.0000
2020.04.08;10:04:26.158;14398;40.0;39.2;38.3;1370.0;0.7128;0.7128;1.0064;0.0000
2020.04.08;10:04:26.361;14601;40.0;39.2;38.3;1370.0;0.7149;0.7149;1.0061;0.0000
2020.04.08;10:04:26.564;14804;40.1;39.2;38.4;1370.0;0.7178;0.7178;1.0061;0.0000
